"b_pubid","b_sourceid","b_classname","b_batchid","b_credate","b_upddate","b_creator","b_updator","b_pendingactions","b_matchgrp","b_oldmatchgrp","b_xgrp","b_confirmationstatus","b_confscore","b_confscoretype","b_hassuggmerge","b_suggmergeid","b_suggmergeconfscore","b_suggmergeconfscoretype","b_suggmergemasterscount","id","b_oldsdpk","b_confirmedsdpk","first_name","last_name","phonetic_first_name","phonetic_last_name","normalized_first_name","normalized_last_name","nickname","member_id","date_of_birth","normalized_street","normalized_city","normalized_state","source_email","cleansed_email","valid_email_domain","source_phone","standardized_phone","phone_geocoding_data","value_status","person_type","addstreet","addcity","addstate","addpostal_code","addcountry","mdm_id","effective_update_date","guess_gender"
CRM,"1439572",Person,89,2025-03-19 10:49:09.590,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,965,,,NOT_CONFIRMED,,,,,,,,10517,10517,,Rori,Munden,RR,MNTN,rori,munden,rori,"63",1942-03-07,"72637 SHELLEY TERRACE",HUANGASCAR,,rmundenl@lulu.com,rmundenl@lulu.com,"1",,,,HIGH,CUSTOMER,"72637 Shelley Terrace",Huangascar,,,PE,,2025-03-20 14:19:13.930,UNKNOWN
CRM,"1440360",Person,89,2025-03-19 10:49:09.590,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,966,,,NOT_CONFIRMED,,,,,,,,10518,10518,,Doll,Hadcroft,TL,HTKR,doll,hadcroft,doll,"47",1949-05-24,"293 LOGAN AVE",MNELALETE,,dhadcroftx@nsw.gov.au,dhadcroftx@nsw.gov.au,"1",,,,,PROSPECT,"293 Logan Avenue",Mnelalete,,,ID,,2025-03-20 14:19:14.042,UNKNOWN
CRM,"1445906",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1166,,,NOT_CONFIRMED,,,true,1310,93,AVG_TRANS_MATCH_SCORE,2,10546,10546,,Carole,Samett,KRL,SMT,carole,samett,carole,"19",1957-11-07,"0 ANDERSON PLZ",SENTUL,,csamett0@scientificamerican.com,csamett0@scientificamerican.com,"1",,,,,PROSPECT,"0 Anderson Plz",Sentul,,,ID,,2025-03-20 14:19:13.846,FEMALE
CRM,"1445907",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1106,,,NOT_CONFIRMED,,,true,1307,68,AVG_TRANS_MATCH_SCORE,2,10547,10547,,Lydia,Haome,LT,HM,lydia,haome,lyddy,"73",1963-01-10,"5 NORTHPORT RD",ABAéTé,,lhaime1@dmoz.org,lhaime1@dmoz.org,"1",,,,NORMAL,CUSTOMER,"5 Northport Rd",Abaété,,"35620-000",BR,,2025-03-20 14:19:13.964,FEMALE
CRM,"1381797",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,969,,,NOT_CONFIRMED,,,,,,,,10403,10403,,Pearlie,Ellerbusch,PRL,ELRB,pearlie,ellerbusch,pearlie,"488-52-2502",1991-05-15,"2108 MENAUL BLVD NE",ALBUQUERQUE,NEW MEXICO,pearlie@ellerbusch.com,pearlie@ellerbusch.com,"1","505-889-8955",(505) 889-8955,"Albuquerque, NM",NORMAL,CUSTOMER,"2108 Menaul Blvd Ne",Albuquerque,NM,"87107",US,,2025-03-20 14:19:13.911,FEMALE
CRM,"1381860",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,970,,,NOT_CONFIRMED,,,,,,,,10404,10404,,Roy,Semrad,R,SMRT,roy,semrad,roy,"122-52-8422",1969-07-16,"6555 CARNEGIE AVE",CLEVELAND,OHIO,roy@semrad.com,roy@semrad.com,"0","216-361-9627",(216) 361-9627,"Cleveland, OH",NORMAL,CUSTOMER,"6555 Carnegie Ave",Cleveland,OH,"44103",US,,2025-03-20 14:19:14.183,MALE
CRM,"1382839",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,971,,,NOT_CONFIRMED,,,,,,,,10405,10405,,Kelly,Graniela,KL,KRNL,kelly,graniela,kelly,"434-89-5041",1899-12-31,"925 L ST",SACRAMENTO,CALIFORNIA,kelly@graniela.com,kelly@graniela.com,"1","916-442-8885",(916) 442-8885,"Sacramento, CA",NORMAL,CUSTOMER,"925 L St",Sacramento,CA,"95814",US,,2025-03-20 14:19:14.050,MALE
CRM,"1386547",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,972,,,NOT_CONFIRMED,,,,,,,,10410,10410,,Alyce,Mercury,ALS,MRKR,alyce,mercury,alyce,"395-24-5655",1973-08-29,"108 N COLUMBUS ST",ALEXANDRIA,VIRGINIA,alyce@mercury.com,alyce@mercury.com,"1","703-548-7115",(703) 548-7115,"Alexandria, VA",NORMAL,CUSTOMER,"108 N Columbus St",Alexandria,VA,"22314",US,,2025-03-20 14:19:14.008,FEMALE
CRM,"1402262",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,977,,,NOT_CONFIRMED,,,true,1293,78,AVG_TRANS_MATCH_SCORE,2,10428,10428,,Louis,Kyle,LS,KL,louis,kyle,lou,"323-81-3897",1988-05-23,"9425 STENTON AVE",PHILADELPHIA,PENNSYLVANIA,louis@kyle.com,louis@kyle.com,"1","215-233-0367",(215) 233-0367,Pennsylvania,HIGH,CUSTOMER,"9425 Stenton Ave",Philadelphia,PA,"19118",US,,2025-03-20 14:19:14.175,MALE
CRM,"1392939",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,975,,,NOT_CONFIRMED,,,,,,,,10420,10420,,Stacy,Schettler,STS,SKTL,stacy,schettler,stacy,"749-71-8416",1979-08-01,"36 EXTON ST",SOUTH RIVER,NEW JERSEY,stacy@schettler.com,stacy@schettler.com,"1","732-254-0161",(732) 254-0161,"East Brunswick, NJ",NORMAL,CUSTOMER,"36 Exton St",South River,NJ,"08882",US,,2025-03-20 14:19:14.093,MALE
CRM,"1403451",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,978,,,NOT_CONFIRMED,,,,,,,,10429,10429,,Chris,Ubaldo,XRS,UBLT,chris,ubaldo,chris,"766-60-6315",1995-01-26,"6840 N CUTTER CIR",PORTLAND,OREGON,kris@ubaldo.com,kris@ubaldo.com,"1","240-0223","240-0223",,,PROSPECT,"6840 N Cutter Cir",Portland,OR,"97217",US,,2025-03-20 14:19:14.080,MALE
CRM,"1316294",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,984,,,CONFIRMED,100,AVG_TRANS_MATCH_SCORE,false,,,,,10258,10258,10258,Ray,Amason,R,AMSN,ray,amason,raymond,"933-15-1090",1975-12-16,"3 DEPOT ST",WAPAKONETA,OHIO,rey@amason.com,rey@amason.com,"1","419 738 9241",(419) 738-9241,"Wapakoneta, OH",HIGH,CUSTOMER,"3 Depot St",Wapakoneta,OH,"45665",US,,2025-03-20 14:19:14.112,MALE
CRM,"1357165",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1000,,,CONFIRMED,100,AVG_TRANS_MATCH_SCORE,false,,,,,10279,10279,10279,Caroline,LaPalme,KRLN,LPLM,caroline,lapalme,carol,"345-92-3352",1991-03-26,"4910 DEPARTURE DR",RALEIGH,NORTH CAROLINA,carol.lapalme@yahoo.com,carol.lapalme@yahoo.com,"1","919-876-7612",(919) 876-7612,"Raleigh, NC",HIGH,CUSTOMER,"4910 Departure Drive",Raleigh,NC,"27616",US,,2025-03-20 14:19:13.824,FEMALE
CRM,"1363457",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1003,,,NOT_CONFIRMED,,,true,1297,93,AVG_TRANS_MATCH_SCORE,2,10281,10281,,Zay,Hendel,S,HNTL,zay,hendel,zay,"970-12-1028",1979-08-01,"2332 E DIVISION ST",SPRINGFIELD,MISSOURI,isaiah@hendel.com,isaiah@hendel.com,"1","417-864-1286",(417) 864-1286,"Springfield, MO",NORMAL,CUSTOMER,"2332 E Division St",Springfield,MO,,US,,2025-03-20 14:19:14.182,UNKNOWN
CRM,"1356510",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,999,,,NOT_CONFIRMED,,,,,,,,10374,10374,,Faye,Mcgrue,FY,MKKR,faye,mcgrue,faye,"568-12-1704",1983-06-13,"1120 20TH ST NW",WASHINGTON,DC,faye@mcgrue.com,faye@mcgrue.com,"0","202-962-9236",(202) 962-9236,Washington D.C.,NORMAL,CUSTOMER,"1120 20th St Nw",Washington,DC,"20038",US,,2025-03-20 14:19:13.986,FEMALE
CRM,"1358759",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1001,,,NOT_CONFIRMED,,,,,,,,10375,10375,,Colton,Rave,KLTN,RF,colton,rave,colton,"674-15-6146",1973-01-19,"1644 N HONORE ST",CHICAGO,ILLINOIS,colton@rave.com,colton@rave.com,"1","773-486-5500",(773) 486-5500,"Chicago, IL",,PROSPECT,"1644 N Honore St",Chicago,IL,"80822",US,,2025-03-20 14:19:14.066,MALE
CRM,"1359465",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1002,,,NOT_CONFIRMED,,,,,,,,10376,10376,,Leif,Defiguero,LF,TFKR,leif,defiguero,leif,"994-52-8898",1992-02-23,"4097 W RAMSEY ST",BANNING,CALIFORNIA,leif@defiguero.com,leif@defiguero.com,"0","951-849-6891",(951) 849-6891,"Banning, CA",,PROSPECT,"4097 W Ramsey St",Banning,CA,"62220",US,,2025-03-20 14:19:13.970,MALE
CRM,"1371322",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1009,,,CONFIRMED,100,AVG_TRANS_MATCH_SCORE,false,,,,,10285,10285,10285,DeShawn,Peters,TXN,PTRS,deshawn,peters,deshawn,"217-80-1993",1982-09-18,"125 NE 1ST AVE",OCALA,FLORIDA,d@pedrogo.com,d@pedrogo.com,"1","217-243-7667",(217) 243-7667,"Jacksonville, IL",NORMAL,CUSTOMER,"125 Ne 1st Ave",Ocala,FL,"34470",US,,2025-03-20 14:19:13.829,MALE
CRM,"1375249",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1012,,,CONFIRMED,100,AVG_TRANS_MATCH_SCORE,false,,,,,10287,10287,10287,Marquis,Barayuga,MRKS,BRYK,marquis,barayuga,marc,,1985-01-30,"2 ALLéE FLORIAN",TASSIN-LA-DEMI-LUNE,RHôNE,marquis@barayuga.com,marquis@barayuga.com,"1",+33 4 78 79 83 84,"04 78 79 83 84",France,NORMAL,CUSTOMER,"2 Allée Florian",Tassin-la-Demi-Lune,Rhône,"69160",France,,2025-03-20 14:19:14.155,UNKNOWN
CRM,"1383590",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,987,,,CONFIRMED,100,AVG_TRANS_MATCH_SCORE,false,,,,,10270,10272,10270,John,Edelman,JN,ETLM,john,edelman,jack,"905-96-5314",1976-09-03,"591 REDWOOD HIGHWAY #1200",MILL VALLEY,CALIFORNIA,john@jedelman.com,john@jedelman.com,"1","415-381-9176",(415) 381-9176,"Mill Valley, CA",NORMAL,CUSTOMER,"591 Redwood Highway #1200",Mill Valley,California,"94941",US,,2025-03-20 14:19:14.098,MALE
CRM,"1391755",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1027,,,CONFIRMED,100,AVG_TRANS_MATCH_SCORE,true,1299,91,AVG_TRANS_MATCH_SCORE,5,10303,10303,10303,Ken,Robaina,KN,RBN,ken,robaina,kenneth,,1972-04-03,"1455 91ST AVE NE",MINNEAPOLIS,MINNESOTA,ken.robaina@gmail.com,ken.robaina@gmail.com,"1","763.780.4712",(763) 780-4712,Minnesota,HIGH,CUSTOMER,"1455 91st Ave Ne",Minneapolis,MN,"55449",US,,2025-03-20 14:19:14.172,MALE
CRM,"1397271",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1035,,,NOT_CONFIRMED,,,,,,,,10422,10422,,Harlan,Semrad,HRLN,SMRT,harlan,semrad,harlan,"364-77-3494",1973-08-29,"459 RIVER RD",BAY CITY,MICHIGAN,harlan@semrad.com,harlan@semrad.com,"0","989-893-3319",(989) 893-3319,"Bay City, MI",NORMAL,CUSTOMER,"459 River Rd",Bay City,MI,"48708",US,,2025-03-20 14:19:14.074,MALE
CRM,"1398304",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1036,,,NOT_CONFIRMED,,,,,,,,10423,10423,,Curt,Cha,KRT,K,curt,cha,curtis,"651-79-7882",1986-04-08,"545 CHANCELLOR AVE",IRVINGTON,NEW JERSEY,curtis@cha.com,curtis@cha.com,"1","973-372-5969",(973) 372-5969,"Irvington, NJ",,PROSPECT,"545 Chancellor Ave",Irvington,NJ,"07111",US,,2025-03-20 14:19:14.070,MALE
CRM,"1438474",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1053,,,NOT_CONFIRMED,,,,,,,,10445,10445,,Dianne,Kytle,TN,KTL,dianne,kytle,dianne,"128-67-1571",1981-09-07,"3501 W LAKE RD",ABILENE,TEXAS,dianne@kytle.com,dianne@kytle.com,"0","325-672-6016",(325) 672-6016,"Abilene, TX",NORMAL,CUSTOMER,"3501 W Lake Rd",Abilene,TX,"79601",US,,2025-03-20 14:19:14.104,FEMALE
CRM,"1438610",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1054,,,NOT_CONFIRMED,,,,,,,,10446,10446,,Nettie,Winland,NT,WNLN,nettie,winland,nettie,"564-28-5397",1977-10-14,"222 N 3RD ST",YAKIMA,WASHINGTON,natalie@winland.com,natalie@winland.com,"1","509-575-7812",(509) 575-7812,"Yakima, WA",NORMAL,CUSTOMER,"222 N 3rd St",Yakima,WA,"98901",US,,2025-03-20 14:19:14.057,FEMALE
CRM,"1445914",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1055,,,NOT_CONFIRMED,,,,,,,,10549,10549,,Elyse,Mott,ELS,MT,elyse,mott,elyse,"50",1962-11-14,"223 STEENSLAND HILL",HUAI YOT,,emott8@artisteer.com,emott8@artisteer.com,"1",,,,NORMAL,CUSTOMER,"223 Steensland Hill",Huai Yot,,"92130",TH,,2025-03-20 14:19:14.023,FEMALE
CRM,"1445917",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1056,,,NOT_CONFIRMED,,,,,,,,10550,10550,,Richart,O'Hickee,RXRT,OHK,richart o,hickee,richart,"55",1958-04-10,"43 MELVIN DR",NANGARORO,,rohickeeb@ustream.tv,rohickeeb@ustream.tv,"0",,,,NORMAL,CUSTOMER,"43 Melvin Dr",Nangaroro,,,ID,,2025-03-20 14:19:13.924,UNKNOWN
CRM,"1445919",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1057,,,NOT_CONFIRMED,,,,,,,,10551,10551,,Jeno,Kofax,JN,KFKS,jeno,kofax,jeno,"85",1943-05-14,"0 EVERETT POINT",TSIOMBE,,jkofaxd@irs.gov,jkofaxd@irs.gov,"1",,,,,PROSPECT,"0 Everett Point",Tsiombe,,,MG,,2025-03-20 14:19:13.870,MALE
CRM,"1445920",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1058,,,NOT_CONFIRMED,,,,,,,,10552,10552,,Sherill,Jozefowicz,XRL,JSFW,sherill,jozefowicz,sherill,"43",1959-02-11,"96 UNION PASS",HENGLIN,,sjozefowicze@macromedia.com,sjozefowicze@macromedia.com,"1",,,,,PROSPECT,"96 Union Pass",Henglin,,,CN,,2025-03-20 14:19:14.120,UNKNOWN
CRM,"1445943",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1059,,,NOT_CONFIRMED,,,,,,,,10562,10562,,Stafa,Dowson,STF,TSN,stafa,dowson,stafa,"74",1953-10-23,"8994 NORTHVIEW TERRACE",BUJUMBURA,,sdowson11@businesswire.com,sdowson11@businesswire.com,"1",,,,NORMAL,CUSTOMER,"8994 Northview Terrace",Bujumbura,,,BI,,2025-03-20 14:19:14.102,UNKNOWN
CRM,"1445944",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1060,,,NOT_CONFIRMED,,,,,,,,10563,10563,,Donnie,Klimshuk,TN,KLMX,donnie,klimshuk,donny,"11",1999-01-18,"12 MOLAND CT",YANGLANG,,dklimshuk12@mac.com,dklimshuk12@mac.com,"1",,,,NORMAL,CUSTOMER,"12 Moland Ct",Yanglang,,,CN,,2025-03-20 14:19:14.004,UNKNOWN
CRM,"1445950",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1061,,,NOT_CONFIRMED,,,,,,,,10564,10564,,Hy,Ducker,Hy,TKR,hy,ducker,hy,"50",1975-06-16,"0742 DREWRY DR",HENGXI,,hducker18@google.com.au,hducker18@google.com.au,"1",,,,NORMAL,CUSTOMER,"0742 Drewry Drive",Hengxi,,,CN,,2025-03-20 14:19:13.973,UNKNOWN
CRM,"1445952",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1062,,,NOT_CONFIRMED,,,,,,,,10565,10565,,Kizzee,Broggio,KS,BRK,kizzee,broggio,kizzee,"69",1995-12-12,"5193 FOREST RUN XING",LIRANG,,kbroggoi1a@bing.com,kbroggoi1a@bing.com,"1",,,,NORMAL,CUSTOMER,"5193 Forest Run Xing",Lirang,,,ID,,2025-03-20 14:19:14.041,UNKNOWN
CRM,"1445953",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1063,,,NOT_CONFIRMED,,,,,,,,10566,10566,,Bernarr,Vondra,BRNR,FNTR,bernarr,vondra,bernarr,"76",1977-12-10,"50636 SUSAN POINT",STARI GRAD,,bvondra1b@opensource.org,bvondra1b@opensource.org,"1",,,,NORMAL,CUSTOMER,"50636 Susan Point",Stari Grad,,,BA,,2025-03-20 14:19:14.073,UNKNOWN
CRM,"1445954",Person,89,2025-03-19 11:12:06.945,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1064,,,NOT_CONFIRMED,,,,,,,,10567,10567,,Thatch,Chrstine,"0X",XRST,chrstine,thatch,thatch,"83",1986-05-10,"58 VILLAGE GREEN ST",TALAGANTE,,tchrstine1c@berkeley.edu,tchrstine1c@berkeley.edu,"1",,,,NORMAL,CUSTOMER,"58 Village Green Street",Talagante,,,CL,,2025-03-20 14:19:14.194,MALE
MKT,"1353826",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1066,,,NOT_CONFIRMED,,,,,,,,10453,10453,,Teri,Neundorfer,TR,NNTR,teri,neundorfer,teri,"590-89-3615",1983-11-09,"601 W MAIN #-815",SPOKANE,WASHINGTON,teri@neundorfer.com,teri@neundorfer.com,"1","509-838-6142",(509) 838-6142,"Spokane, WA",NORMAL,CUSTOMER,"601 W Main #-815",Spokane,WA,"66201",US,,2025-03-20 14:19:13.900,FEMALE
MKT,"1354026",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1067,,,NOT_CONFIRMED,,,,,,,,10454,10454,,Willy,Okimoto,WL,OKMT,willy,okimoto,willy,"973-55-7636",1990-05-18,"17 HANOVER RD",FLORHAM PARK,NEW JERSEY,willy@okimoto.com,willy@okimoto.com,"1","973-822-8978",(973) 822-8978,New Jersey,NORMAL,CUSTOMER,"17 Hanover Rd",Florham Park,NJ,"07632",US,,2025-03-20 14:19:13.868,MALE
MKT,"1364815",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1075,,,NOT_CONFIRMED,,,,,,,,10342,10342,,Chuck,Mattos,KK,MTS,chuck,mattos,chuck,"914-26-2010",1985-09-11,"137 FARNSWORTH AVE",BORDENTOWN,NEW JERSEY,charlie@mattos.com,charlie@mattos.com,"1","609-298-3130",(609) 298-3130,New Jersey,NORMAL,CUSTOMER,"137 Farnsworth Ave",Bordentown,NJ,,US,,2025-03-20 14:19:14.045,MALE
MKT,"1367021",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1076,,,NOT_CONFIRMED,,,,,,,,10344,10344,,Nelly,Graniela,NL,KRNL,nelly,graniela,nelly,"767-71-2121",1991-03-09,"925 L AVE",SACRAMENTO,CALIFORNIA,e@graniela.com,e@graniela.com,"1","916-442-88","91644288",,,PROSPECT,"925 L Ave",Sacramento,CA,"95814",US,,2025-03-20 14:19:13.974,FEMALE
MKT,"1364655",Person,89,2025-03-11 17:14:24.247,2025-03-20 14:19:30.538,semadmin,semadmin,NONE,1074,,,NOT_CONFIRMED,,,,,,,,10461,10461,,Jeri,Willer,JR,WLR,jeri,willer,jeri,"168-69-8233",1985-07-19,"1660 S ALBION ST",DENVER,COLORADO,jeri@willer.com,jeri@willer.com,"1","303-753-2153",(303) 753-2153,"Denver, CO",,PROSPECT,"1660 S Albion St",Denver,CO,,US,,2025-03-20 14:19:13.963,FEMALE
