b_pubid,b_sourceid,id,b_matchgrp,b_xgrp,normalized_first_name,normalized_last_name,member_id,date_of_birth,normalized_street,normalized_city,normalized_state,addpostal_code,addcountry,cleansed_email,standardized_phone
CRM,1405405,10079,118,,lynda,bamfield,795-22-3150,1981-10-18,2094 WHITE PLAINS RD,BRONX,NEW YORK,10462,US,lynda@bamfield.com,(347) 430-2736
CRM,1397271,10165,106,,harlan,semrad,364-77-3494,1973-08-29,459 RIVER RD,BAY CITY,MICHIGAN,48708,US,harlan@semrad.com,(989) 893-3319
CRM,1398304,10166,107,,curt,cha,651-79-7882,1986-04-08,545 CHANCELLOR AVE,IRVINGTON,NEW JERSEY,07111,US,curtis@cha.com,(973) 372-5969
CRM,1399550,10167,110,,dixie,jackowiak,776-66-7217,1983-12-16,18017 ROSELAND RD,CLEVELAND,OHIO,44112,US,dixie@jackowiak.com,(216) 531-6191
CRM,1399801,10168,111,,jill,guzzetta,442-85-5714,1979-11-13,44 GALLOWAY RD,WARWICK,NEW YORK,10990,US,jill@guzzetta.com,986-1216
CRM,1400678,10169,112,,frannie,maggert,560-16-1778,1972-07-22,8000 COOPER AVE,RIDGEWOOD,NEW YORK,11385,US,fran@maggert.com,(718) 894-8022
CRM,1419718,10085,127,,antonia,mattos,,1973-07-01,3109 MAIN AVE #210,MELBOURNE,FLORIDA,32901,US,toni@mattos.com,(321) 727-6512
CRM,1433728,10091,137,,saul,rave,649-29-3863,1986-04-09,1500 N 13TH ST,READING,PENNSYLVANIA,19604,US,saul@rave.com,(484) 375-7261
CRM,1987232,10093,148,,anthony,roberts,771-88-9632,1952-09-07,1555 S GREENWOOD AVE,MONTEBELLO,CALIFORNIA,90640,US,anthonyroberts@gmail.com,(323) 887-4889
CRM,1421940,10179,130,,prince,schettler,745-88-7704,1981-03-28,412 FRONT ST,BEAUFORT,NORTH CAROLINA,28516,US,prince@schettler.com,728-0135
CRM,1422294,10180,131,,buford,cacace,929-59-1885,1973-04-27,1030 US HIGHWAY 46,CLIFTON,NEW JERSEY,07013,US,buford@cacace.com,773-8628
CRM,1423914,10181,133,,clo,anadio,432-91-4432,1985-10-08,114 N MAIN ST,MULLICA HILL,NEW JERSEY,08062,US,chloe@anadio.com,478-4036
CRM,1428529,10182,135,,chang,svec,930-64-5708,1989-12-14,3416 S 48TH ST #-6,PHOENIX,ARIZONA,85040,US,chang@svec.com,968-2792
CRM,1429646,10183,136,,huey,gouker,780-92-6273,1990-10-27,100 HABERSHAM DR,FAYETTEVILLE,GEORGIA,30214,US,huey@gouker.com,461-4303
MKT,1351755,10190,150,,billie,pedro,234-53-2478,1973-01-31,845 E 73RD AVE,DENVER,COLORADO,60226,US,billie@pedro.com,(303) 288-4159
MKT,1352605,10191,151,,cassie,sandrowicz,764-58-3930,1984-01-19,HOWELLS RD,MIDDLETOWN,NEW YORK,10640,US,carrie@sandrowicz.com,(845) 344-5941
MKT,1353360,10192,152,,linda,pelham,599-30-9096,1990-08-21,OLD HWY #-72,CHEROKEE,ALABAMA,35818,US,melinda@pelham.com,(256) 360-5870
MKT,1353826,10193,153,,teri,neundorfer,590-89-3615,1983-11-09,601 W MAIN #-815,SPOKANE,WASHINGTON,66201,US,teri@neundorfer.com,(509) 838-6142
MKT,1354026,10194,154,,willy,okimoto,973-55-7636,1990-05-18,17 HANOVER RD,FLORHAM PARK,NEW JERSEY,07632,US,willy@okimoto.com,(973) 822-8978
MKT,1355044,10195,155,,lexi,derer,449-56-5297,1986-07-20,RT 111,HOLLIS,NEW HAMPSHIRE,03046,US,alexis@derer.com,(603) 883-6221
MKT,1356989,10196,157,,lino,sultaire,287-23-4924,1986-07-20,1400 N WOODWARD AVE #-200,BLOOMFIELD HILLS,MICHIGAN,46304,US,lino@sultaire.com,(248) 647-7623
MKT,1377623,10098,186,,emilio,michaels,219-20-4634,1979-06-09,108 W RANDOLPH AVE,ENID,OKLAHOMA,73701,US,michaels@gouker.com,(580) 233-9834
MKT,1379608,10099,192,,harry,masters,200-40-6182,1978-12-04,7220 WOODLAND DR,INDIANAPOLIS,INDIANA,46278,US,harry@icloudnet.com,(317) 290-2614
MKT,1370265,10205,173,,betsy,pravata,549-59-7385,1987-12-12,659 S RIVER AVE,AURORA,ILLINOIS,60506,US,betsy@pravata.com,(630) 801-2462
MKT,1372469,10206,174,,billie,balliew,511-15-6389,1975-12-09,200 MAIN AVE,FALMOUTH,MASSACHUSETTS,02540,US,billie@wallet.com,(508) 548-4717
MKT,1372958,10207,175,,leann,creecy,206-34-5526,1974-03-17,3850 W 20TH AVE,CLEVELAND,OHIO,44109,US,leann@creecy.com,(216) 749-0767
MKT,1381567,10220,195,,earnestine,waetzig,137-98-3962,1992-02-25,16161 BROOKPARK RD,BROOK PARK,OHIO,44142,US,earnestine@waetzig.com,(216) 267-1844
MKT,1381873,10221,197,,omer,averhart,423-85-6129,1981-01-09,400 CAPITOL MALL,SACRAMENTO,CALIFORNIA,95814,US,omer@averhart.com,(916) 927-6221
MKT,1382583,10222,198,,aimee,pulkrabek,603-41-1070,1987-09-28,2211 PARSONS AVE,COLUMBUS,OHIO,43207,US,aimee@pulkrabek.com,(614) 445-5812
MKT,1382655,10223,199,,latonya,odegard,657-70-5429,1991-03-09,4499 RUFFIN RD,SAN DIEGO,CALIFORNIA,92123,US,latonya@odegard.com,(858) 277-6570
MKT,1385863,10224,202,,mario,averhart,584-43-4193,1986-01-05,111 LYON ST NW,GRAND RAPIDS,MICHIGAN,49503,US,mario@averhart.com,752-3959
MKT,1386889,10225,203,,porfirio,creecy,546-64-7959,1976-05-24,1440 POPLAR AVE,MEMPHIS,TENNESSEE,38104,US,porfirio@creecy.com,(901) 272-9572
MKT,1396700,10238,218,,ross,glueckert,951-60-7115,1984-03-31,1106 E 3RD ST,DAYTON,OHIO,45402,US,ross@glueckert.com,(937) 228-3007
MKT,1396727,10239,219,,dustin,hysmith,871-12-2634,1976-09-06,6371 BURNT POPLAR RD,GREENSBORO,NORTH CAROLINA,27409,US,dustin@hysmith.com,(336) 852-6077
MKT,1397394,10240,220,,o,tukuafa,473-74-5564,1976-05-24,6805 CAPITOL HWY #-32,AUSTIN,TEXAS,78731,US,octavio@tukuafa.com,(512) 327-8399
MKT,1398218,10241,221,,mohammed,mikell,992-10-6879,1985-08-05,BOX #-1092,CRESCENT CITY,CALIFORNIA,95531,US,mohammed@mikell.com,(707) 464-9425
MKT,1398717,10242,222,,justina,ubaldo,300-23-3433,1985-01-30,320 W FRONT ST,MEDIA,PENNSYLVANIA,19063,US,justina@ubaldo.com,(610) 565-9373
MKT,1405814,10247,231,,tina,poitier,,1980-04-01,2571 TIMBER LN,DAYTON,OHIO,45414,US,christine@poitier.com,277-1814
MKT,1381582,10011,9,,mary-ann,markes,218-33-0349,1899-12-31,1200 SUMMER ST #103,STAMFORD,CONNECTICUT,06905,US,maryann@markes.com,(203) 967-5612
CRM,1373064,10012,9,,mary-ann,markes,218-33-0348,1993-11-18,1200 SUMMER ST #-103,STAMFORD,CONNECTICUT,06905,US,maryann@markes.com,(203) 967-5612
CRM,1383060,10013,9,,mary-ann,markes,,1993-11-18,1200 SUMMER ST,STAMFORD,CONNECTICUT,06905,US,maryann@markes.com,(203) 967-5612
CRM,1483060,10014,9,,mary-ann,markes,218-33-0348,1993-11-18,1200 SUMMER ST #103,STAMFORD,CONNECTICUT,06905,US,maryann@markes.com,(203) 967-5612
CRM,1336294,10017,11,,ray,amason,933-15-1090,1975-12-16,3 DEPOT ST,WAPAKONETA,OHIO,45665,US,ray@amason.com,(419) 738-9241
MKT,1420684,10255,242,,delmar,quimby,633-22-6397,1981-08-03,212 W GIBSON DR,GREENVILLE,MICHIGAN,48838,US,delmar@quimby.com,754-6715
MKT,1424076,10256,244,,burl,maggert,374-22-4029,1993-02-09,129 LOCKWOOD ST,NEWARK,NEW JERSEY,07105,US,burl@maggert.com,589-0421
MKT,1428866,10257,248,,shauna,ellerbusch,110-35-6626,1985-03-18,1042 IH 35 E,NEW BRAUNFELS,TEXAS,78130,US,shauna@ellerbusch.com,2591
MKT,1429319,10258,249,,oscar,graniela,912-83-8430,1990-03-22,6905 E US HIGHWAY 87,SAN ANTONIO,TEXAS,78263,US,oscar@graniela.com,648-7659
MKT,1429729,10259,250,,cissy,hysmith,628-61-9471,1983-09-26,3200 W MARKET ST #-108,AKRON,OHIO,44333,US,cecilia@hysmith.com,864-0619
MKT,1432608,10260,251,,merle,cha,302-89-2694,1986-11-26,450 S AUSTRALIAN AVE,WEST PALM BEACH,FLORIDA,33401,US,merle@cha.com,832-1820
MKT,1433965,10261,252,,ronnie,ellerbusch,134-45-7905,1995-06-02,1126 17TH AVE,MONROE,WISCONSIN,53566,US,ron@ellerbusch.com,325-2068
MKT,1321830,10025,12,,jass,ellerbusch,585-96-9870,1991-12-11,73 S HAMILTON AVE,DOYLESTOWN,PENNSYLVANIA,18901,US,jass@ellerbusch.com,(215) 348-5078
CRM,1333591,10027,14,,john,edelman,905-96-5314,1976-09-03,591 REDWOOD HWY #200,MILL VALLEY,CALIFORNIA,94941,US,john@jedelman.com,(415) 381-9176
MKT,1356294,10018,11,,ray,amason,283-51-4212,1975-12-16,3 DEPOT ST,WAPAKONETA,OHIO,45665,US,rey@amason.com,(419) 738-9241
MKT,1364608,10020,11,,rey,amason,283-51-4212,1975-12-16,3 DEPOT ST,WAPAKONETA,OHIO,,US,rey@amason.com,(419) 738-9241
CRM,1334125,10022,12,,jasmine,ellerbusch,585-96-9870,1991-12-11,73 S HAMILTON AVE,DOYLESTOWN,PENNSYLVANIA,18901,US,jass@ellerbusch.com,(215) 348-5078
CRM,1370125,10023,12,,jasmine,ellerbusch,585-96-9870,1991-12-11,73 S HAMILTON AVE,DOYLESTOWN,PENNSYLVANIA,18901,US,jass@ellerbusch.com,(215) 348-5078
CRM,1370830,10024,12,,jass,ellerbusch,,1991-12-11,73 S HAMILTON AVE,DOYLESTOWN,PENNSYLVANIA,18901,US,jass@ellerbusch.com,(215) 348-5078
CRM,1383590,10028,14,,john,edelman,905-96-5314,1976-09-03,591 REDWOOD HIGHWAY #1200,MILL VALLEY,CALIFORNIA,94941,US,john@jedelman.com,(415) 381-9176
MKT,1404880,10029,14,,john,edelman,905-96-5314,1976-09-03,591 REDWOOD HWY STE 1200,MILL VALLEY,CALIFORNIA,94941,US,john@jedelman.com,(415) 381-9176
MKT,1395419,10031,18,,federico,popp,631-46-6958,1984-05-10,419 N CASCADE AVE,COLORADO SPRINGS,COLORADO,80903,US,federico@popp.com,(719) 635-5347
MKT,1376987,10033,24,,vernice,southwood,948-20-5524,1987-10-22,8 COMMERCIAL AVE,MEDFORD,NEW YORK,11763,US,vernice@southwood.com,(631) 698-8293
CRM,1353672,10034,25,,angelica,aldaba,992-13-6271,1986-11-23,1427 NW DAVIS ST,PORTLAND,OREGON,67206,US,angelica@aldaba.com,(503) 228-3027
CRM,1406729,10035,25,,angelica,aldaba,992-13-6271,1986-11-23,1427 NW DAVIS ST,PORTLAND,OREGON,67206,US,angelia@aldaba.com,(503) 228-3027
CRM,1355424,10036,27,,liza,assante,559-56-8906,1981-12-03,8589 DARROW RD,TWINSBURG,OHIO,44067,US,liza@assante.com,(330) 425-7382
CRM,1426631,10037,27,,liza,assante,559-56-8906,1981-12-03,8589 DARROW RD,TWINSBURG,OHIO,44087,US,liza@assante.com,425-7382
CRM,1357165,10038,32,,caroline,lapalme,345-92-3352,1991-03-26,4910 DEPARTURE DR,RALEIGH,NORTH CAROLINA,27616,US,carol.lapalme@yahoo.com,(919) 876-7612
MKT,1380531,10039,32,,carol,lapalme,345-92-3352,1991-03-26,4910 DEPARTURE DR,RALEIGH,NORTH CAROLINA,27616,US,carol.lapalme@yahoo.com,(919) 876-7612
CRM,1355739,10115,28,,weldon,odegard,311-61-2771,1985-08-07,6822 ACADEMY PKWY W,ALBUQUERQUE,NEW MEXICO,67106,US,weldon@odegard.com,(505) 345-1780
CRM,1356431,10116,29,,dino,mitchen,647-54-1452,1983-01-11,400 N PENNSYLVANIA AVE #-500,ROSWELL,NEW MEXICO,66201,US,dino@mitchen.com,(505) 622-3923
CRM,1356506,10117,30,,katharine,sankar,100-33-2917,1977-02-09,5122 LEWIS AVE,TOLEDO,OHIO,43812,US,katharine@sankar.com,(419) 476-7118
CRM,1356510,10118,31,,faye,mcgrue,568-12-1704,1983-06-13,1120 20TH ST NW,WASHINGTON,DC,20038,US,faye@mcgrue.com,(202) 962-9236
CRM,1363457,10040,36,,zay,hendel,970-12-1028,1979-08-01,2332 E DIVISION ST,SPRINGFIELD,MISSOURI,,US,isaiah@hendel.com,(417) 864-1286
MKT,1383342,10041,36,,zay,hendel,970-12-1028,1976-09-03,2332 E DIVISION ST,SPRINGFIELD,MISSOURI,65803,US,isaiah@hendel.com,(417) 864-1286
MKT,1368178,10043,37,,nola,girvan,811-45-2100,1980-04-10,1620 PAONIA AVE,COLORADO SPRINGS,COLORADO,80915,US,nola@girvan.com,(719) 574-6245
CRM,1436978,10045,51,,deshawn,peters,217-80-1993,1982-09-18,125 NE 1ST AVE,OCALA,FLORIDA,34470,US,d@pedrogo.com,(217) 243-7667
CRM,1388087,10047,61,,marquis,barayuga,,1985-01-30,2 ALLéE FLORIAN,TASSIN-LA-DEMI-LUNE,RHôNE,69160,France,marquis@barayuga.com,04 78 79 83 84
CRM,1399446,10049,69,,sara,johnson,237-24-5099,1994-02-28,90 MITCHELL BLVD #201,SAN RAFAEL,CALIFORNIA,94903,US,saraj@yahoo.com,(415) 472-3289
MKT,1409934,10050,69,,sarah,johnson,237-24-5099,1997-10-17,90 MITCHELL BLVD,SAN RAFAEL,CALIFORNIA,94903,US,saraj@yahoo.com,472-3289
CRM,1380327,10051,70,,emilie,svec,,1991-09-04,2222 W GRANDVIEW BLVD,ERIE,PENNSYLVANIA,16506,US,emilie@svec.com,(814) 833-6073
CRM,1385755,10052,70,,emily,svec,621-78-4238,1991-09-04,2222 W GRANDVIEW BLVD,ERIE,PENNSYLVANIA,16506,US,emilie@svec.com,(814) 833-6073
CRM,1381799,10053,74,,julianna,quimby,281-83-5025,1989-08-05,615 FRANKLIN TPKE,RIDGEWOOD,NEW JERSEY,07450,US,juliana@quimby.com,(201) 444-6741
MKT,1401213,10054,74,,juliana,quimby,284-11-7213,1977-06-17,615 FRANKLIN TPKE,RIDGEWOOD,NEW JERSEY,07450,US,juliana@quimby.com,(201) 444-6741
CRM,1385517,10055,81,,mike,larue,,1991-09-04,109 N MAYO ST,AMERICUS,GEORGIA,31709,US,mikelarue@amason.com,(229) 924-2487
MKT,1427534,10056,81,,mike,larue,,1992-09-04,109 N MAYO ST,AMERICUS,GEORGIA,31709,US,mikelarue@amason.com,(229) 924-2487
MKT,1438732,10058,85,,callie,aldaba,212-33-8685,1972-04-03,2151 RIVER PLAZA DR STE 105,SACRAMENTO,CALIFORNIA,95833,US,callie@aldaba.com,(916) 567-4449
MKT,1367261,10060,90,,fran,sahagun,407-16-8942,1981-11-17,220 S 6TH AVE,MINNEAPOLIS,MINNESOTA,55402,US,francine@sahagun.com,(612) 340-7052
MKT,1363938,10062,92,,jake,schettler,389-18-7431,1979-08-26,10400 EATON PL #-401,FAIRFAX,VIRGINIA,,US,jake@schettler.com,(703) 591-4492
CRM,1391755,10063,95,,ken,robaina,,1972-04-03,1455 91ST AVE NE,MINNEAPOLIS,MINNESOTA,55449,US,ken.robaina@gmail.com,(763) 780-4712
CRM,1394755,10064,95,,ken,robaina,,1972-04-03,1455 91ST AVE NE,MINNEAPOLIS,MINNESOTA,,US,ken@robaina.com,(763) 780-4712
CRM,1395755,10067,95,,kenneth,robaina,,1972-04-04,1456 91ST AVE NE #12,MINNEAPOLIS,MINNESOTA,,US,ken.robaina@gmail.com,(763) 780-4712
CRM,1396755,10065,95,,kenneth,robaina,642-58-4131,,1455 91ST AVE NE APT 12,MINNEAPOLIS,MINNESOTA,55449,US,ken.robaina@gmail.com,(763) 780-4712
MKT,1363548,10066,95,,kenneth,robaina,642-58-4131,1972-04-03,1455 91ST AVE NE APT. 12,MINNEAPOLIS,MINNESOTA,55449,US,ken@robaina.com,
CRM,1392506,10068,100,,latonia,williams,731-32-6965,1991-03-09,7600 OLDE EIGHT RD,HUDSON,OHIO,44236,US,latonia.williams@yahoo.com,(330) 656-1030
MKT,1357114,10069,100,,latonia,williams,731-32-6965,1986-07-18,7600 OLDE EIGHT RD,HUDSON,OHIO,44236,US,latonia.williams@yahoo.com,(330) 656-1030
CRM,1393125,10070,102,,jude,warstler,,1986-09-30,205 MADISON AVE,SCRANTON,PENNSYLVANIA,18503,US,jude@warstler.com,(570) 346-7206
MKT,1413179,10071,102,,jude,warstler,425-37-2578,1975-10-24,205 MADISON AVE,SCRANTON,PENNSYLVANIA,18503,US,jude@warstler.com,346-7206
MKT,1379005,10073,108,,mark,waters,585-39-8288,1980-06-15,2308 BATES AVE,CONCORD,CALIFORNIA,94520,US,mark@markwaters.com,(925) 682-6249
CRM,1422971,10074,108,,mark,waters,585-39-8288,1980-06-15,2308 BATES AVE,CONCORD,CALIFORNIA,94520,US,markwaters@gmail.com,682-6249
MKT,1363038,10076,114,,lois,kyle,967-16-3491,1972-03-13,9425 STENTON AVE,PHILADELPHIA,PENNSYLVANIA,19118,US,lois@kyle.com,(215) 233-0367
MKT,1374707,10078,117,,alanna,resides,672-76-1800,1899-12-31,4892 RIVER,DETROIT,MICHIGAN, ,,a@presidency.com,(618) 594-3207
MKT,1422861,10080,118,,linda,bamfield,,1981-10-18,2094 WHITE PLAINS RD,BRONX,NEW YORK,10462,US,lynda@bamfield.com,(347) 430-2736
CRM,1408146,10081,120,,josef,taulman,,1989-04-29,1620 ASHEVILLE HWY,HENDERSONVILLE,NORTH CAROLINA,28791,US,josef@taulman.com,693-9775
MKT,1425478,10082,120,,josef,taulman,674-19-1624,1989-04-29,1620 ASHEVILLE HWY,HENDERSONVILLE,NORTH CAROLINA,28791,US,josef@taulman.com,693-9775
CRM,1418027,10083,126,,gail,taulman,,1971-12-10,5094 WESTBROOK RD,UNION CITY,GEORGIA,30291,US,gail@taulman.com,969-4377
CRM,1435348,10084,126,,gail,taulman,651-20-3113,1971-12-10,5094 WESTBROOK RD,UNION CITY,GEORGIA,30291,US,gail@taulman.com,969-4377
CRM,1419728,10086,127,,antonia,mattos,528-58-9553,1973-07-01,3109 MAIN AVE,MELBOURNE,FLORIDA,32901,US,toni@mattos.com,(321) 727-6512
CRM,1369708,10088,127,,toni,mattos,,1973-01-07,6703 SHADOW CREEK TRAIL,MELBOURNE,FLORIDA,32940,US,toni.mattos@tonimattos.com,(321) 727-6512
CRM,1419748,10089,127,,toni,mattos,,,6703 SHADOW CREEK TRAIL,MELBOURNE,FLORIDA,32940,US,toni.mattos@tonimattos.com,(321) 727-6512
MKT,1425005,10090,127,,toni,mattos,,,6703 SHADOW CREEK TRAIL,MELBOURNE,FLORIDA,32940,US,toni.mattos@tonimattos.com,(321) 727-6512
CRM,1469708,10087,127,,antonia,mattos,528-58-9553,1973-07-01,3109 MAIN AVE,MELBOURNE,FLORIDA,32901,US,toni.mattos@tonimattos.com,(321) 727-6512
MKT,1416366,10092,137,,saul,rave,649-29-3863,1986-04-19,1500 N 13TH ST,READING,PENNSYLVANIA,19604,US,saul@rave.com,(484) 375-7261
MKT,1383232,10094,148,,anthony,roberts,771-88-9632,1952-09-07,1555 S GREENWOOD AVE,MONTEBELLO,CALIFORNIA,90640,US,anthonyroberts@gmail.com,(323) 887-4889
MKT,1387232,10095,148,,anthony,roberts,391-29-7374,1986-03-14,1555 S GREENWOOD AVE,MONTEBELLO,CALIFORNIA,90640,US,tonyrobertsjr@gmail.com,(323) 887-4889
MKT,1379404,10096,186,,emily,michaels,743-71-5476,1983-05-09,108 W RANDOLPH AVE,ENID,OKLAHOMA,73701,US,michaels@gouker.com,(580) 233-9834
MKT,1399642,10097,186,,emily,michaels,743-71-5476,1983-05-09,108 W RANDOLPH AVE,ENID,OKLAHOMA,73701,US,michaels@gouker.com,(580) 233-9834
MKT,1398995,10100,192,,henry,masters,200-40-6182,1978-12-04,7220 WOODLAND DR,INDIANAPOLIS,INDIANA,46278,US,harry@icloudnet.com,(317) 290-2614
CRM,1358759,10119,33,,colton,rave,674-15-6146,1973-01-19,1644 N HONORE ST,CHICAGO,ILLINOIS,80822,US,colton@rave.com,(773) 486-5500
CRM,1359465,10120,34,,leif,defiguero,994-52-8898,1992-02-23,4097 W RAMSEY ST,BANNING,CALIFORNIA,62220,US,leif@defiguero.com,(951) 849-6891
CRM,1361292,10121,35,,virgie,geuder,853-20-5140,1980-09-05,1922 S LAREDO ST,SAN ANTONIO,TEXAS,76207,US,virgie@geuder.com,(210) 224-1698
CRM,1366458,10124,40,,earline,hendel,287-48-1265,1969-09-21,4850 RHAWN AVE,PHILADELPHIA,PENNSYLVANIA,19136,US,earline@hendel.com,(215) 338-6850
